claim_id,claim,claim_class,evidence_level,source_pointer,source,confidence,applicability,prohibited_inferences,status,target_reference
BND-002,"以""Jony Ive 风格""、""Apple-like""、白色、圆角、金属或极简作为形态处方",PROHIBITED,G,evidence-policy.md:71,REF-EVIDENCE-001,high,所有设计任务,不得将禁止规则反向作为形态处方,GOVERNING,core/evidence-policy.md
BND-003,将通用绘画、摄影或渲染知识反向当作产品关系、结构、人体工学、材料或制造决策的依据,PROHIBITED,G,evidence-policy.md:75,REF-EVIDENCE-001,high,所有设计任务,不得用视觉知识替代产品决策,GOVERNING,core/evidence-policy.md
VIS-001,PromptBundle 编译时只表达 DesignIR 已确认字段，不得新增关系、结构或操作,GOVERNING,G,prompt-contract.md:38,REF-PROMPT-001,high,STEP-15,不得用摄影语言补全产品定义,GOVERNING,prompt/prompt-contract.md
VIS-003,production_prompt 必须为 90 至 160 个非空白字符，按固定语义顺序表达,GOVERNING,G,quality/failure-library.md,REF-PROMPT-001,high,STEP-15,不得压缩或扩展字符范围,GOVERNING,quality/failure-library.md
VIS-004,提示词编译不等于图片生成授权，无用户明确出图指令时停止,GOVERNING,G,prompt-contract.md:31,REF-PROMPT-001,high,STEP-15,不得默认生成图片,GOVERNING,prompt/prompt-contract.md
GOV-001,核心理念维度：当前决策为谁解决什么本质问题，创造什么长期价值,GOVERNING,G,five-dimension-engine.md:41,REF-FIVE-001,high,所有正式步骤,不得用空值或风格词替代,GOVERNING,core/five-dimension-engine.md
GOV-002,规则体系维度：什么路径、标准和决策机制能使结论可重复、可调整,GOVERNING,G,five-dimension-engine.md:42,REF-FIVE-001,high,所有正式步骤,不得省略决策机制,GOVERNING,core/five-dimension-engine.md
GOV-003,工具基建维度：需要哪些稳定、可扩展、成本合理的技术、数据或工具支撑,GOVERNING,G,five-dimension-engine.md:43,REF-FIVE-001,high,所有正式步骤,不得假设无限资源,GOVERNING,core/five-dimension-engine.md
GOV-004,执行技巧维度：如何用小步验证、细节打磨和协作将判断落地,GOVERNING,G,five-dimension-engine.md:44,REF-FIVE-001,high,所有正式步骤,不得跳过验证步骤,GOVERNING,core/five-dimension-engine.md
GOV-005,环境时机维度：哪些市场、政策、竞争、资源和投入时点构成客观约束,GOVERNING,G,five-dimension-engine.md:45,REF-FIVE-001,high,所有正式步骤,不得忽略时间约束,GOVERNING,core/five-dimension-engine.md
MTH-012,待核验条件性表达规则（具体定义待补充）,HYPOTHESIS,U,prompt-contract.md:80,REF-PROMPT-001,low,STEP-15,不得进入正向运行知识,GOVERNING,prompt/prompt-contract.md
AUD-009,旧产品案例回查线索（Airbnb 早期设计）,HYPOTHESIS,U,failure-library.md,REF-QUALITY-003,low,审计,不得继承旧归因,PENDING,quality/failure-library.md
AUD-022,旧产品案例回查线索（技术趋势）,HYPOTHESIS,U,failure-library.md,REF-QUALITY-003,low,审计,不得预测未证实技术,PENDING,quality/failure-library.md
FCT-001,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-002,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-003,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-004,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-005,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-006,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
FCT-007,Auto-registered from core/case-capsules.md,GOVERNING,G,core/case-capsules.md,REF-CORE-CASE-CAPSULES,high,fact,不得反向推导为运行禁止,GOVERNING,core/case-capsules.md
MTH-002,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-003,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-004,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-005,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
MTH-006,Auto-registered from core/design-methodology.md,GOVERNING,G,core/design-methodology.md,REF-CORE-DESIGN-METHODOLOGY,high,method,不得反向推导为运行禁止,GOVERNING,core/design-methodology.md
